iPhasePC GPS状态 GPS模式 GPS有效性 GPS经度 GPS纬度 GPS高度 GPS东速 GPS北速 GPS天速
   7548 01 60 5a 116.603150 40.141692 34.20 -0.0048 -0.0125 0.0165
   7588 01 60 5a 116.603150 40.141692 34.23 -0.0088 -0.0021 0.0148
   7628 01 60 5a 116.603150 40.141692 34.24 -0.0051 -0.0006 -0.0088
   7668 01 60 5a 116.603150 40.141692 34.26 -0.0274 0.0032 0.0162
   7708 01 60 5a 116.603150 40.141692 34.26 0.0035 0.0096 -0.0023
   7748 01 60 5a 116.603150 40.141692 34.27 -0.0012 0.0066 0.0416
   7788 01 60 5a 116.603150 40.141692 34.28 0.0128 -0.0103 0.0080
   7828 01 60 5a 116.603150 40.141692 34.28 -0.0006 -0.0003 0.0104
   7868 01 60 5a 116.603150 40.141693 34.29 0.0199 0.0024 -0.0266
   7909 01 60 5a 116.603150 40.141693 34.30 -0.0047 0.0138 0.0490
   7948 01 60 5a 116.603150 40.141693 34.31 0.0018 -0.0164 -0.0045
   7988 01 60 5a 116.603150 40.141693 34.31 0.0137 -0.0013 -0.0280
   8028 01 60 5a 116.603150 40.141693 34.32 0.0028 -0.0028 -0.0082
   8068 01 60 5a 116.603150 40.141693 34.33 -0.0082 0.0013 0.0343
   8108 01 60 5a 116.603150 40.141693 34.33 0.0206 0.0038 -0.0038
   8148 01 60 5a 116.603150 40.141693 34.34 0.0006 0.0192 0.0125
   8188 01 60 5a 116.603150 40.141693 34.34 0.0013 -0.0214 0.0126
   8228 01 60 5a 116.603150 40.141693 34.35 -0.0124 -0.0229 -0.0072
   8268 01 60 5a 116.603150 40.141693 34.36 -0.0008 0.0111 0.0475
   8308 01 60 5a 116.603150 40.141693 34.36 -0.0023 -0.0114 -0.0150
   8348 01 60 5a 116.603151 40.141693 34.37 0.0041 -0.0070 -0.0208
   8388 01 60 5a 116.603151 40.141693 34.38 0.0087 -0.0098 0.0170
   8428 01 60 5a 116.603150 40.141693 34.38 -0.0076 0.0042 0.0019
   8469 01 60 5a 116.603151 40.141693 34.38 0.0043 -0.0086 0.0029
   8508 01 60 5a 116.603151 40.141693 34.38 -0.0027 -0.0057 -0.0082
   8548 01 60 5a 116.603151 40.141693 34.39 -0.0017 -0.0030 -0.0093
   8588 01 60 5a 116.603151 40.141693 34.40 -0.0042 0.0056 0.0534
   8628 01 60 5a 116.603151 40.141693 34.40 0.0162 -0.0076 0.0196
   8668 01 60 5a 116.603151 40.141693 34.41 -0.0001 -0.0019 -0.0023
   8708 01 60 5a 116.603151 40.141693 34.41 0.0136 -0.0003 0.0080
   8748 01 60 5a 116.603151 40.141694 34.41 -0.0038 -0.0048 0.0188
   8788 01 60 5a 116.603151 40.141694 34.41 -0.0035 -0.0119 -0.0217
   8828 01 60 5a 116.603151 40.141694 34.41 0.0080 0.0060 -0.0006
   8868 01 60 5a 116.603151 40.141693 34.40 -0.0012 0.0104 -0.0403
   8908 01 60 5a 116.603151 40.141694 34.41 -0.0008 -0.0038 0.0311
   8948 01 60 5a 116.603151 40.141694 34.41 -0.0066 0.0065 -0.0144
   8988 01 60 5a 116.603151 40.141694 34.41 -0.0014 0.0079 0.0078
   9028 01 60 5a 116.603151 40.141694 34.41 0.0034 0.0096 0.0091
   9068 01 60 5a 116.603151 40.141694 34.41 0.0010 0.0024 -0.0054
   9108 01 60 5a 116.603151 40.141694 34.41 0.0112 -0.0042 -0.0058
   9148 01 60 5a 116.603151 40.141694 34.41 0.0056 0.0140 0.0063
   9188 01 60 5a 116.603151 40.141694 34.42 0.0086 -0.0001 0.0259
   9228 01 60 5a 116.603151 40.141694 34.42 0.0188 -0.0114 -0.0318
   9268 01 60 5a 116.603151 40.141694 34.42 0.0075 0.0088 -0.0051
   9308 01 60 5a 116.603151 40.141694 34.43 -0.0064 -0.0202 -0.0295
   9348 01 60 5a 116.603151 40.141694 34.44 0.0019 0.0013 0.0055
   9388 01 60 5a 116.603151 40.141694 34.44 -0.0112 -0.0227 0.0252
   9428 01 60 5a 116.603151 40.141694 34.44 0.0075 -0.0140 0.0068
   9468 01 60 5a 116.603151 40.141694 34.44 0.0088 -0.0064 -0.0068
   9508 01 60 5a 116.603151 40.141694 34.45 -0.0015 0.0196 0.0631
   9548 01 60 5a 116.603151 40.141694 34.45 -0.0085 0.0315 0.0639
   9588 01 60 5a 116.603151 40.141694 34.45 -0.0065 0.0063 0.0038
   9628 01 60 5a 116.603151 40.141694 34.45 0.0197 0.0261 -0.0003
   9668 01 60 5a 116.603151 40.141694 34.44 -0.0074 -0.0235 0.0041
   9708 01 60 5a 116.603151 40.141694 34.44 0.0021 -0.0093 0.0141
   9748 01 60 5a 116.603151 40.141694 34.44 -0.0062 -0.0040 -0.0159
   9788 01 60 5a 116.603151 40.141694 34.44 0.0012 -0.0192 0.0227
   9828 01 60 5a 116.603151 40.141694 34.44 -0.0092 0.0082 0.0291
   9868 01 60 5a 116.603151 40.141694 34.43 0.0000 -0.0151 -0.0472
   9908 01 60 5a 116.603151 40.141694 34.44 0.0028 -0.0148 0.0209
   9948 01 60 5a 116.603151 40.141694 34.44 0.0063 0.0044 -0.0085
   9988 01 60 5a 116.603151 40.141694 34.44 0.0062 -0.0067 0.0118
  10028 01 60 5a 116.603151 40.141694 34.44 -0.0134 -0.0091 0.0099
  10068 01 60 5a 116.603151 40.141694 34.44 -0.0118 -0.0151 0.0583
  10108 01 60 5a 116.603151 40.141694 34.43 -0.0063 0.0024 -0.0188
  10148 01 60 5a 116.603151 40.141694 34.43 -0.0038 0.0116 0.0031
  10188 01 60 5a 116.603151 40.141694 34.43 0.0023 -0.0054 -0.0011
  10228 01 60 5a 116.603151 40.141694 34.42 -0.0096 -0.0311 -0.0302
  10268 01 60 5a 116.603151 40.141694 34.43 -0.0065 -0.0064 -0.0090
  10308 01 60 5a 116.603151 40.141694 34.43 0.0099 0.0105 0.0388
  10348 01 60 5a 116.603151 40.141694 34.42 -0.0138 -0.0382 -0.0124
  10388 01 60 5a 116.603151 40.141694 34.42 0.0023 -0.0002 0.0156
  10428 01 60 5a 116.603151 40.141694 34.42 0.0067 0.0080 0.0101
  10468 01 60 5a 116.603151 40.141694 34.42 -0.0028 0.0050 0.0049
  10508 01 60 5a 116.603151 40.141694 34.29 -0.0069 -0.0346 -0.0053
  10548 01 60 5a 116.603151 40.141694 34.29 -0.0105 0.0148 0.0015
  10588 01 60 5a 116.603151 40.141694 34.29 0.0094 0.0042 0.0084
  10628 01 60 5a 116.603151 40.141694 34.29 0.0096 0.0029 0.0067
  10668 01 60 5a 116.603151 40.141694 34.29 0.0069 -0.0072 0.0251
  10708 01 60 5a 116.603151 40.141694 34.29 -0.0176 -0.0178 0.0100
  10748 01 60 5a 116.603151 40.141694 34.28 0.0045 0.0050 0.0066
  10788 01 60 5a 116.603151 40.141694 34.29 -0.0102 -0.0005 0.0353
  10828 01 60 5a 116.603151 40.141694 34.42 0.0116 0.0106 -0.0041
  10868 01 60 5a 116.603151 40.141694 34.42 0.0082 0.0001 0.0256
  10908 01 60 5a 116.603151 40.141695 34.42 0.0078 -0.0010 0.0182
  10948 01 60 5a 116.603151 40.141695 34.43 0.0090 0.0097 0.0143
  10988 01 60 5a 116.603151 40.141695 34.43 -0.0165 -0.0049 0.0068
  11028 01 60 5a 116.603151 40.141695 34.43 0.0027 -0.0231 0.0079
  11068 01 60 5a 116.603151 40.141695 34.43 0.0046 0.0086 -0.0027
  11108 01 60 5a 116.603151 40.141695 34.43 0.0000 0.0040 0.0028
  11148 01 60 5a 116.603151 40.141695 34.43 -0.0040 -0.0177 0.0092
  11188 01 60 5a 116.603151 40.141695 34.43 -0.0034 0.0066 0.0150
  11228 01 60 5a 116.603151 40.141695 34.43 -0.0246 -0.0205 0.0078
  11268 01 60 5a 116.603151 40.141695 34.45 0.0017 0.0203 0.0391
  11308 01 60 5a 116.603151 40.141695 34.46 -0.0088 0.0311 0.1088
  11348 01 60 5a 116.603151 40.141694 34.21 -0.0078 -0.0223 -0.0017
  11388 01 60 5a 116.603151 40.141694 34.21 -0.0211 -0.0413 -0.0151
  11428 01 60 5a 116.603152 40.141695 34.02 0.0049 -0.0150 -0.0113
  11468 01 60 5a 116.603151 40.141695 34.03 -0.0064 -0.0140 0.0020
  11508 01 60 5a 116.603151 40.141695 34.03 -0.0164 0.0087 -0.0107
  11548 01 60 5a 116.603151 40.141695 34.03 -0.0006 0.0064 0.0294
  11588 01 60 5a 116.603152 40.141695 34.04 0.0212 0.0239 0.0330
  11628 01 60 5a 116.603152 40.141695 34.02 0.0047 -0.0231 -0.0506
  11668 01 60 5a 116.603151 40.141694 34.22 0.0190 0.0206 -0.0007
